Header	Region	Host	Subtype	Country	HA_Segment_Id	New_Data	Clade	Clade_Group	Isolate_Name	CVV	Outbreak	Outliers	date
AB972707|A/duck/Vietnam/LBM570/2014|H5N1|2014-01-08	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972707	NA	2.3.2.1c	2.3.2.1	A/duck/Vietnam/LBM570/2014	NA	NA	N	2014-01-08
AB972715|A/muscovy_duck/Vietnam/LBM571/2014|H5N1|2014-01-08	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972715	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Vietnam/LBM571/2014	NA	NA	N	2014-01-08
AB972723|A/muscovy_duck/Vietnam/LBM573/2014|H5N1|2014-01-08	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972723	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Vietnam/LBM573/2014	NA	NA	N	2014-01-08
AB972731|A/duck/Vietnam/LBM578/2014|H5N1|2014-01-08	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972731	NA	2.3.2.1c	2.3.2.1	A/duck/Vietnam/LBM578/2014	NA	NA	N	2014-01-08
AB972739|A/muscovy_duck/Long_An/43/2013|H5N1|2013-12-29	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972739	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Long_An/43/2013	NA	NA	N	2013-12-29
AB972747|A/muscovy_duck/Long_An/46/2013|H5N1|2013-12-29	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB972747	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Long_An/46/2013	NA	NA	N	2013-12-29
AB979455|A/muscovy_duck/Vietnam/LBM631/2014|H5N1|2014-04-15	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB979455	NA	2.3.4.4g	2.3.4.4x	A/muscovy_duck/Vietnam/LBM631/2014	NA	NA	N	2014-04-15
AB979463|A/duck/Vietnam/LBM632/2014|H5N1|2014-04-15	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB979463	NA	2.3.4.4g	2.3.4.4x	A/duck/Vietnam/LBM632/2014	NA	NA	N	2014-04-15
AB979471|A/duck/Vietnam/LBM633/2014|H5N1|2014-04-15	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB979471	NA	2.3.4.4g	2.3.4.4x	A/duck/Vietnam/LBM633/2014	NA	NA	N	2014-04-15
AB979479|A/muscovy_duck/Vietnam/LBM634/2014|H5N1|2014-04-15	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB979479	NA	2.3.4.4g	2.3.4.4x	A/muscovy_duck/Vietnam/LBM634/2014	NA	NA	N	2014-04-15
AB979487|A/muscovy_duck/Vietnam/LBM635/2014|H5N1|2014-04-15	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB979487	NA	2.3.4.4g	2.3.4.4x	A/muscovy_duck/Vietnam/LBM635/2014	NA	NA	N	2014-04-15
AB979495|A/muscovy_duck/Vietnam/LBM636/2014|H5N1|2014-04-15	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB979495	NA	2.3.4.4g	2.3.4.4x	A/muscovy_duck/Vietnam/LBM636/2014	NA	NA	N	2014-04-15
AB979503|A/duck/Vietnam/LBM638/2014|H5N1|2014-04-15	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB979503	NA	2.3.4.4g	2.3.4.4x	A/duck/Vietnam/LBM638/2014	NA	NA	N	2014-04-15
AB979511|A/duck/Vietnam/LBM639/2014|H5N1|2014-04-15	Southeast Asia	Domestic Birds	H5N1	Vietnam	AB979511	NA	2.3.4.4g	2.3.4.4x	A/duck/Vietnam/LBM639/2014	NA	NA	N	2014-04-15
AF028709|A/Hong_Kong/156/97|H5N1|1997	China	Human	H5N2	China	AF028709	NA	0	Minor	A/Hong_Kong/156/97	NA	NA	Y	1905-06-19
AF046097|A/Hong_Kong/483/1997|H5N1|1997	China	Human	H5N3	China	AF046097	NA	0	Minor	A/Hong_Kong/483/1997	NA	NA	Y	1905-06-19
AF102676|A/HongKong/97/98|H5N1|1998	China	Domestic Birds	H5N4	China	AF102676	NA	0	Minor	A/HongKong/97/98	NA	NA	Y	1905-06-20
AY221522|A/Chicken/HongKong/NT873_3/01|H5N1|2001	China	Domestic Birds	H5N8	China	AY221522	NA	0	Minor	A/Chicken/HongKong/NT873_3/01	NA	NA	N	1905-06-23
AY585363|A/duck/Guangxi/07/1999|H5N1|1999	China	Domestic Birds	H5N6	China	AY585363	NA	0	Minor	A/duck/Guangxi/07/1999	NA	NA	Y	1905-06-21
AY585374|A/duck/Guangdong/40/2000|H5N1|2000	China	Domestic Birds	H5N7	China	AY585374	NA	0	Minor	A/duck/Guangdong/40/2000	NA	NA	N	1905-06-22
CY048227|A/duck/Nigeria/08RS848-20/2006|H5N1|2006-06-25	Africa	Domestic Birds	H5N1	Nigeria	CY048227	NA	2.2	2.2	A/duck/Nigeria/08RS848-20/2006	NA	NA	N	2006-06-25
CY099958|A/muscovy_duck/Viet_Nam/TMU001/2008|H5N1|2008-02-20	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099958	NA	2.3.4.3	Minor	A/muscovy_duck/Viet_Nam/TMU001/2008	NA	NA	N	2008-02-20
CY099959|A/duck/Viet_Nam/TMU002/2008|H5N1|2008-02-27	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099959	NA	2.3.4.2	Minor	A/duck/Viet_Nam/TMU002/2008	NA	NA	N	2008-02-27
CY099960|A/muscovy_duck/Viet_Nam/TMU003/2008|H5N1|2008-02-27	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099960	NA	2.3.4.2	Minor	A/muscovy_duck/Viet_Nam/TMU003/2008	NA	NA	N	2008-02-27
CY099961|A/chicken/Viet_Nam/TMU006/2008|H5N1|2008-03-02	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099961	NA	2.3.4.3	Minor	A/chicken/Viet_Nam/TMU006/2008	NA	NA	N	2008-03-02
CY099962|A/chicken/Viet_Nam/TMU008/2008|H5N1|2008-03-01	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099962	NA	2.3.4.2	Minor	A/chicken/Viet_Nam/TMU008/2008	NA	NA	Y	2008-03-01
CY099963|A/quail/Viet_Nam/TMU010/2008|H5N1|2008-03-07	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099963	NA	2.3.4.3	Minor	A/quail/Viet_Nam/TMU010/2008	NA	NA	N	2008-03-07
CY099964|A/chicken/Viet_Nam/TMU011/2008|H5N1|2008-03-17	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099964	NA	2.3.4.2	Minor	A/chicken/Viet_Nam/TMU011/2008	NA	NA	N	2008-03-17
CY099965|A/muscovy_duck/Viet_Nam/TMU012/2008|H5N1|2008-03-20	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099965	NA	2.3.4.2	Minor	A/muscovy_duck/Viet_Nam/TMU012/2008	NA	NA	N	2008-03-20
CY099966|A/chicken/Viet_Nam/TMU013/2008|H5N1|2008-03-13	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099966	NA	2.3.4.2	Minor	A/chicken/Viet_Nam/TMU013/2008	NA	NA	Y	2008-03-13
CY099967|A/muscovy_duck/Viet_Nam/TMU014/2008|H5N1|2008-03-13	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099967	NA	2.3.4.2	Minor	A/muscovy_duck/Viet_Nam/TMU014/2008	NA	NA	N	2008-03-13
CY099968|A/chicken/Viet_Nam/TMU015/2008|H5N1|2008-04-22	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099968	NA	2.3.4.3	Minor	A/chicken/Viet_Nam/TMU015/2008	NA	NA	N	2008-04-22
CY099969|A/chicken/Viet_Nam/TMU016/2008|H5N1|2008-04-22	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099969	NA	2.3.4.3	Minor	A/chicken/Viet_Nam/TMU016/2008	NA	NA	N	2008-04-22
CY099970|A/duck/Viet_Nam/TMU018/2009|H5N1|2009-10-06	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099970	NA	2.3.4.1	Minor	A/duck/Viet_Nam/TMU018/2009	NA	NA	N	2009-10-06
CY099971|A/duck/Viet_Nam/TMU019/2009|H5N1|2009-10-06	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099971	NA	2.3.4.1	Minor	A/duck/Viet_Nam/TMU019/2009	NA	NA	N	2009-10-06
CY099972|A/duck/Viet_Nam/TMU020/2009|H5N1|2009-06-16	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099972	NA	2.3.4.1	Minor	A/duck/Viet_Nam/TMU020/2009	NA	NA	N	2009-06-16
CY099973|A/duck/Viet_Nam/TMU023/2009|H5N1|2009-10-26	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099973	NA	2.3.4.1	Minor	A/duck/Viet_Nam/TMU023/2009	NA	NA	N	2009-10-26
CY099974|A/duck/Viet_Nam/TMU024/2009|H5N1|2009-12-10	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099974	NA	2.3.4.1	Minor	A/duck/Viet_Nam/TMU024/2009	NA	NA	N	2009-12-10
CY099975|A/duck/Viet_Nam/TMU027/2009|H5N1|2009-10-12	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099975	NA	2.3.4.1	Minor	A/duck/Viet_Nam/TMU027/2009	NA	NA	N	2009-10-12
CY099976|A/duck/Viet_Nam/TMU028/2009|H5N1|2009-10-12	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099976	NA	2.3.4.1	Minor	A/duck/Viet_Nam/TMU028/2009	NA	NA	N	2009-10-12
CY099977|A/duck/Viet_Nam/TMU029/2009|H5N1|2009-10-12	Southeast Asia	Domestic Birds	H5N1	Vietnam	CY099977	NA	2.3.4.1	Minor	A/duck/Viet_Nam/TMU029/2009	NA	NA	N	2009-10-12
CY125969|A/duck/Qalubia/CAI11/2010|H5N1|2010-03-01	Africa	Domestic Birds	H5N1	Egypt	CY125969	NA	2.2.1.1a	2.2	A/duck/Qalubia/CAI11/2010	NA	NA	N	2010-03-01
CY126049|A/chicken/Menofia/CAI34/2010|H5N1|2010-04-21	Africa	Domestic Birds	H5N1	Egypt	CY126049	NA	2.2.1.1	2.2	A/chicken/Menofia/CAI34/2010	NA	NA	N	2010-04-21
CY126058|A/chicken/Giza/CAI37/2009|H5N1|2009-05-20	Africa	Domestic Birds	H5N1	Egypt	CY126058	NA	2.2.1.1	2.2	A/chicken/Giza/CAI37/2009	NA	NA	Y	2009-05-20
CY126073|A/chicken/Menofia/CAI42/2009|H5N1|2009-05-25	Africa	Domestic Birds	H5N1	Egypt	CY126073	NA	2.2.1.1	2.2	A/chicken/Menofia/CAI42/2009	NA	NA	N	2009-05-25
DQ343151|A/chicken/Hebei/718/2001|H5N1|2001	China	Domestic Birds	H5N5	China	DQ343151	NA	0	Minor	A/chicken/Hebei/718/2001	NA	NA	N	1905-06-23
DQ997182|A/chicken/Jiangsu/cz1/2002|H5N1|2002	China	Domestic Birds	H5N9	China	DQ997182	NA	0	Minor	A/chicken/Jiangsu/cz1/2002	NA	NA	N	1905-06-24
EF566199|A/chicken/Vietnam/NCVD10/2005|H5N1|2005-01-24	Southeast Asia	Domestic Birds	H5N1	Vietnam	EF566199	NA	1	Minor	A/chicken/Vietnam/NCVD10/2005	NA	NA	N	2005-01-24
EPI1006680|A/common_teal/Korea/W547/2016|H5N8|2016-12-15	Japan Korea	Wild Birds	H5N8	South Korea	EPI1006680	NA	2.3.4.4b	2.3.4.4b	A/common_teal/Korea/W547/2016	NA	NA	N	2016-12-15
EPI1006681|A/common_teal/Korea/W549/2016|H5N8|2016-12-15	Japan Korea	Wild Birds	H5N8	South Korea	EPI1006681	NA	2.3.4.4b	2.3.4.4b	A/common_teal/Korea/W549/2016	NA	NA	N	2016-12-15
EPI1006703|A/common_teal/Korea/W548/2016|H5N8|2016-12-15	Japan Korea	Wild Birds	H5N8	South Korea	EPI1006703	NA	2.3.4.4b	2.3.4.4b	A/common_teal/Korea/W548/2016	NA	NA	N	2016-12-15
EPI1006704|A/common_teal/Korea/W550/2016|H5N8|2016-12-15	Japan Korea	Wild Birds	H5N8	South Korea	EPI1006704	NA	2.3.4.4b	2.3.4.4b	A/common_teal/Korea/W550/2016	NA	NA	N	2016-12-15
EPI1006705|A/common_teal/Korea/W555/2017|H5N8|2017-01-04	Japan Korea	Wild Birds	H5N8	South Korea	EPI1006705	NA	2.3.4.4b	2.3.4.4b	A/common_teal/Korea/W555/2017	NA	NA	N	2017-01-04
EPI1006736|A/common_teal/Korea/W558/2017|H5N6|2017-01-04	Japan Korea	Wild Birds	H5N6	South Korea	EPI1006736	NA	2.3.4.4e	2.3.4.4x	A/common_teal/Korea/W558/2017	NA	NA	N	2017-01-04
EPI1006737|A/common_teal/Korea/W559/2017|H5N6|2017-01-04	Japan Korea	Wild Birds	H5N6	South Korea	EPI1006737	NA	2.3.4.4e	2.3.4.4x	A/common_teal/Korea/W559/2017	NA	NA	N	2017-01-04
EPI1006847|A/chicken/Jiangsu/YB7/2015|H5N1|2015-02-28	China	Domestic Birds	H5N1	China	EPI1006847	NA	2.3.2.1c	2.3.2.1	A/chicken/Jiangsu/YB7/2015	NA	NA	N	2015-02-28
EPI1007667|A/chicken/Belgium/807/2017|H5N8|2017-02-01	Europe	Domestic Birds	H5N8	Belgium	EPI1007667	NA	2.3.4.4b	2.3.4.4b	A/chicken/Belgium/807/2017	NA	NA	N	2017-02-01
EPI1007675|A/peacock/Belgium/1017/2017|H5N8|2017-02-08	Europe	Domestic Birds	H5N8	Belgium	EPI1007675	NA	2.3.4.4b	2.3.4.4b	A/peacock/Belgium/1017/2017	NA	NA	N	2017-02-08
EPI1007683|A/Cygnus_olor/Belgium/1567/2017|H5N8|2017-02-21	Europe	Wild Birds	H5N8	Belgium	EPI1007683	NA	2.3.4.4b	2.3.4.4b	A/Cygnus_olor/Belgium/1567/2017	NA	NA	N	2017-02-21
EPI1009278|A/duck/Lamongan/04160434/2016|H5N1|2016-03-30	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009278	NA	2.3.2.1c	2.3.2.1	A/duck/Lamongan/04160434/2016	NA	NA	N	2016-03-30
EPI1009286|A/chicken/Kediri/04160512/2016|H5N1|2016-04-05	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009286	NA	2.3.2.1c	2.3.2.1	A/chicken/Kediri/04160512/2016	NA	NA	N	2016-04-05
EPI1009294|A/chicken/Pati/04160433/2016|H5N1|2016-03-30	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009294	NA	2.3.2.1c	2.3.2.1	A/chicken/Pati/04160433/2016	NA	NA	N	2016-03-30
EPI1009302|A/chicken/Lamongan/04160418/2016|H5N1|2016-03-30	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009302	NA	2.3.2.1c	2.3.2.1	A/chicken/Lamongan/04160418/2016	NA	NA	N	2016-03-30
EPI1009310|A/chicken/Sukoharjo/04160454/2016|H5N1|2016-04-01	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009310	NA	2.3.2.1c	2.3.2.1	A/chicken/Sukoharjo/04160454/2016	NA	NA	N	2016-04-01
EPI1009318|A/duck/Sidrap/07160336-3/2016|H5N1|2016-04-04	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009318	NA	2.3.2.1c	2.3.2.1	A/duck/Sidrap/07160336-3/2016	NA	NA	N	2016-04-04
EPI1009335|A/muscovy_duck/Pekalongan/04160460/2016|H5N1|2016-04-04	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009335	NA	2.3.2.1c	2.3.2.1	A/muscovy_duck/Pekalongan/04160460/2016	NA	NA	N	2016-04-04
EPI1009342|A/quail/Deliserdang/01160025/2016|H5N1|2016-01-22	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009342	NA	2.1.3.2b	Minor	A/quail/Deliserdang/01160025/2016	NA	NA	N	2016-01-22
EPI1009351|A/chicken/Majalengka/08160070-001/2016|H5N1|2016-03-25	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009351	NA	2.3.2.1c	2.3.2.1	A/chicken/Majalengka/08160070-001/2016	NA	NA	N	2016-03-25
EPI1009359|A/chicken/Kuningan/08160178-003/2016|H5N1|2016-03-18	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009359	NA	2.3.2.1c	2.3.2.1	A/chicken/Kuningan/08160178-003/2016	NA	NA	N	2016-03-18
EPI1009367|A/chicken/Subang/08160018-002/2016|H5N1|2016-01-08	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009367	NA	2.3.2.1c	2.3.2.1	A/chicken/Subang/08160018-002/2016	NA	NA	N	2016-01-08
EPI1009375|A/duck/Sukoharjo/04160290/2016|H5N1|2016-03-03	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009375	NA	2.3.2.1c	2.3.2.1	A/duck/Sukoharjo/04160290/2016	NA	NA	N	2016-03-03
EPI1009383|A/chicken/Sleman/04160326/2016|H5N1|2016-03-08	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009383	NA	2.3.2.1c	2.3.2.1	A/chicken/Sleman/04160326/2016	NA	NA	N	2016-03-08
EPI1009391|A/chicken/Banyuwangi/04160330/2016|H5N1|2016-03-14	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009391	NA	2.3.2.1c	2.3.2.1	A/chicken/Banyuwangi/04160330/2016	NA	NA	N	2016-03-14
EPI1009399|A/duck/Klaten/04160386/2016|H5N1|2016-03-29	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009399	NA	2.3.2.1c	2.3.2.1	A/duck/Klaten/04160386/2016	NA	NA	N	2016-03-29
EPI1009407|A/duck/Lumajang/04160417/2016|H5N1|2016-03-29	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009407	NA	2.3.2.1c	2.3.2.1	A/duck/Lumajang/04160417/2016	NA	NA	N	2016-03-29
EPI1009412|A/quail/Sukoharjo/04152003/2015|H5N1|2015-11-24	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009412	NA	2.3.2.1c	2.3.2.1	A/quail/Sukoharjo/04152003/2015	NA	NA	N	2015-11-24
EPI1009444|A/chicken/Lampung_Utara/03160217/2016|H5N1|2016-02-03	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009444	NA	2.3.2.1c	2.3.2.1	A/chicken/Lampung_Utara/03160217/2016	NA	NA	N	2016-02-03
EPI1009452|A/chicken/Lampung_Utara/03160218/2016|H5N1|2016-03-03	Southeast Asia	Domestic Birds	H5N1	Indonesia	EPI1009452	NA	2.3.2.1c	2.3.2.1	A/chicken/Lampung_Utara/03160218/2016	NA	NA	N	2016-03-03
EPI1009460|A/eagle/Jakarta_Timur/20616-206-III/2016|H5N1|2016-03-07	Southeast Asia	Wild Birds	H5N1	Indonesia	EPI1009460	NA	2.3.2.1c	2.3.2.1	A/eagle/Jakarta_Timur/20616-206-III/2016	NA	NA	N	2016-03-07
EPI1009504|A/Bean_goose/Hubei/CH-i119/2017|H5N8|2017-02-24	China	Wild Birds	H5N8	China	EPI1009504	NA	2.3.4.4b	2.3.4.4b	A/Bean_goose/Hubei/CH-i119/2017	NA	NA	N	2017-02-24
EPI1009512|A/Herring_Gull/Hubei/CH-i149/2017_H5N8|H5N8|2017-02-24	China	Wild Birds	H5N8	China	EPI1009512	NA	2.3.4.4b	2.3.4.4b	A/Herring_Gull/Hubei/CH-i149/2017_H5N8	NA	NA	N	2017-02-24
EPI1009520|A/Bean_goose/Hubei/CH-i336/2017|H5N6|2017-03-06	China	Wild Birds	H5N6	China	EPI1009520	NA	2.3.4.4e	2.3.4.4x	A/Bean_goose/Hubei/CH-i336/2017	NA	NA	N	2017-03-06
EPI1009528|A/Bean_goose/Hubei/CH-i320/2017_H5N8|H5N8|2017-03-06	China	Wild Birds	H5N8	China	EPI1009528	NA	2.3.4.4b	2.3.4.4b	A/Bean_goose/Hubei/CH-i320/2017_H5N8	NA	NA	N	2017-03-06
EPI1009536|A/Bean_goose/Hubei/CH-i122/2017_H5N8|H5N8|2017-02-24	China	Wild Birds	H5N8	China	EPI1009536	NA	2.3.4.4b	2.3.4.4b	A/Bean_goose/Hubei/CH-i122/2017_H5N8	NA	NA	N	2017-02-24
EPI1009544|A/Bean_goose/Hubei/CH-I225/2017|H5N6|2017-02-24	China	Wild Birds	H5N6	China	EPI1009544	NA	2.3.4.4e	2.3.4.4x	A/Bean_goose/Hubei/CH-I225/2017	NA	NA	N	2017-02-24
EPI1010130|A/tundra_swan/Tottori/3111S001/2016|H5N6|2016-11-20	Japan Korea	Wild Birds	H5N6	Japan	EPI1010130	NA	2.3.4.4e	2.3.4.4x	A/tundra_swan/Tottori/3111S001/2016	NA	NA	N	2016-11-20
EPI1010138|A/tundra_swan/Tottori/3111S002/2016|H5N6|2016-11-20	Japan Korea	Wild Birds	H5N6	Japan	EPI1010138	NA	2.3.4.4e	2.3.4.4x	A/tundra_swan/Tottori/3111S002/2016	NA	NA	N	2016-11-20
EPI1010149|A/snowy_owl/Akita/0051D007/2016|H5N6|2016-11-23	Japan Korea	Wild Birds	H5N6	Japan	EPI1010149	NA	2.3.4.4e	2.3.4.4x	A/snowy_owl/Akita/0051D007/2016	NA	NA	N	2016-11-23
EPI1010155|A/snowy_owl/Akita/0051D008/2016|H5N6|2016-11-23	Japan Korea	Wild Birds	H5N6	Japan	EPI1010155	NA	2.3.4.4e	2.3.4.4x	A/snowy_owl/Akita/0051D008/2016	NA	NA	N	2016-11-23
EPI1010162|A/snowy_owl/Akita/0051D010-4/2016|H5N6|2016-11-23	Japan Korea	Wild Birds	H5N6	Japan	EPI1010162	NA	2.3.4.4e	2.3.4.4x	A/snowy_owl/Akita/0051D010-4/2016	NA	NA	N	2016-11-23
EPI1010489|A/green-winged_teal/Egypt/871/2016|H5N8|2016-12-08	Africa	Wild Birds	H5N8	Egypt	EPI1010489	NA	2.3.4.4b	2.3.4.4b	A/green-winged_teal/Egypt/871/2016	NA	NA	N	2016-12-08
EPI1010500|A/green-winged_teal/Egypt/877/2016|H5N8|2016-12-08	Africa	Wild Birds	H5N8	Egypt	EPI1010500	NA	2.3.4.4b	2.3.4.4b	A/green-winged_teal/Egypt/877/2016	NA	NA	N	2016-12-08
EPI101483|A/Cygnus_olor/Astrakhan/Ast05-2-2/2005|H5N1|2005-11-26	West Asia	Wild Birds	H5N1	Russia	EPI101483	NA	2.2	2.2	A/Cygnus_olor/Astrakhan/Ast05-2-2/2005	NA	NA	N	2005-11-26
EPI101724|A/Cygnus_olor/Astrakhan/Ast05-2-3/2005|H5N1|2005-12-01	West Asia	Wild Birds	H5N1	Russia	EPI101724	NA	2.2	2.2	A/Cygnus_olor/Astrakhan/Ast05-2-3/2005	NA	NA	N	2005-12-01
EPI101801|A/Cygnus_olor/Astrakhan/Ast05-2-6/2005|H5N1|2005-11-26	West Asia	Wild Birds	H5N1	Russia	EPI101801	NA	2.2	2.2	A/Cygnus_olor/Astrakhan/Ast05-2-6/2005	NA	NA	N	2005-11-26
EPI1018180|A/duck/Egypt/SS19/2017|H5N8|2017-01-12	Africa	Domestic Birds	H5N8	Egypt	EPI1018180	NA	2.3.4.4b	2.3.4.4b	A/duck/Egypt/SS19/2017	NA	NA	N	2017-01-12
EPI101819|A/Cygnus_olor/Astrakhan/Ast05-2-5/2005|H5N1|2005-11-26	West Asia	Wild Birds	H5N1	Russia	EPI101819	NA	2.2	2.2	A/Cygnus_olor/Astrakhan/Ast05-2-5/2005	NA	NA	N	2005-11-26
EPI1018207|A/duck/Egypt/F446/2017|H5N8|2017-04-06	Africa	Domestic Birds	H5N8	Egypt	EPI1018207	NA	2.3.4.4b	2.3.4.4b	A/duck/Egypt/F446/2017	NA	NA	N	2017-04-06
EPI1019366|A/Bk_swan/NL-Den_Oever/16013973-002/2016|H5N8|2016-11-10	Europe	Wild Birds	H5N8	Netherlands	EPI1019366	NA	2.3.4.4b	2.3.4.4b	A/Bk_swan/NL-Den_Oever/16013973-002/2016	NA	NA	N	2016-11-10
EPI1019374|A/Bl_H_gull/NL-Slootdorp/16014102-002/2016|H5N8|2016-11-11	Europe	Wild Birds	H5N8	Netherlands	EPI1019374	NA	2.3.4.4b	2.3.4.4b	A/Bl_H_gull/NL-Slootdorp/16014102-002/2016	NA	NA	N	2016-11-11
EPI1019382|A/Buzzard/NL-Durgerdam/16015100-004/2016|H5N8|2016-11-30	Europe	Wild Birds	H5N8	Netherlands	EPI1019382	NA	2.3.4.4b	2.3.4.4b	A/Buzzard/NL-Durgerdam/16015100-004/2016	NA	NA	N	2016-11-30
